locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
6386,"Warszawa, ul. Wokalna",no2,46.1,"{'utc': '2023-07-03T21:00:00+00:00', 'local': '2023-07-03T23:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,37.0,"{'utc': '2023-07-03T22:00:00+00:00', 'local': '2023-07-04T00:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,6.0,"{'utc': '2023-07-04T09:00:00+00:00', 'local': '2023-07-04T11:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,5.5,"{'utc': '2023-07-04T10:00:00+00:00', 'local': '2023-07-04T12:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,6.3,"{'utc': '2023-07-04T11:00:00+00:00', 'local': '2023-07-04T13:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,5.3,"{'utc': '2023-07-04T12:00:00+00:00', 'local': '2023-07-04T14:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,5.8,"{'utc': '2023-07-04T13:00:00+00:00', 'local': '2023-07-04T15:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,6.6,"{'utc': '2023-07-04T14:00:00+00:00', 'local': '2023-07-04T16:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,7.3,"{'utc': '2023-07-04T16:00:00+00:00', 'local': '2023-07-04T18:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,11.2,"{'utc': '2023-07-04T17:00:00+00:00', 'local': '2023-07-04T19:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
